text,category
"To whom it may concern, my family pension claim after my spouse's death has been pending at the branch for over four months. I have already raised this with the branch.",Pension Related
I want to report that my debit card was used for a transaction in another city while the card was in my possession the entire time. I have already raised this with the branch.,ATM/Debit Cards
I am writing to complain that the bank closed my savings account for inactivity without sending any prior written notice. Kindly look into this matter.,Deposit Accounts
I want to report that a transaction I never made appeared on my credit card statement and the bank is refusing to investigate it. Please resolve this at the earliest.,Credit Cards
"To whom it may concern, the bank has not updated my pension account after my annual life certificate submission, and payments have stopped. I have already raised this with the branch.",Pension Related
"To whom it may concern, my debit card was used for a transaction in another city while the card was in my possession the entire time.",ATM/Debit Cards
"To whom it may concern, my debit card stopped working without any notice and the branch could not tell me why it was blocked. I have already raised this with the branch.",ATM/Debit Cards
I am writing to complain that i requested closure of my credit card four months ago but I am still being charged the annual renewal fee. Kindly look into this matter.,Credit Cards
I want to report that the bank increased my credit card limit without my consent and now wants to charge interest on the new limit.,Credit Cards
"To whom it may concern, my recurring deposit installment was not credited correctly and the maturity amount shown is incorrect. Please resolve this at the earliest.",Deposit Accounts
There is a billing dispute on my credit card statement that the bank has not resolved after sixty days. Please resolve this at the earliest.,Credit Cards
"To whom it may concern, my family pension claim after my spouse's death has been pending at the branch for over four months. Kindly look into this matter.",Pension Related
I applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. Kindly look into this matter.,Loans and Advances
My joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork. Kindly look into this matter.,Deposit Accounts
I want to report that the bank deducted a minimum balance penalty from my account despite my maintaining the required average balance. Kindly look into this matter.,Deposit Accounts
My credit card application was rejected and the bank will not tell me the specific reason for rejection. Please resolve this at the earliest.,Credit Cards
I am writing to complain that my joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork. Kindly look into this matter.,Deposit Accounts
I want to report that a fund transfer through the mobile app went to the wrong account due to an app error and the bank refuses to help recover it. Kindly look into this matter.,Mobile/Electronic Banking
An unauthorized UPI transaction was made from my account and the bank has not blocked the linked merchant. I have already raised this with the branch.,Mobile/Electronic Banking
"To whom it may concern, my debit card was used for a transaction in another city while the card was in my possession the entire time. I have already raised this with the branch.",ATM/Debit Cards
I want to report that my pension payment was delayed by over a month with no explanation from the bank handling my pension account. Please resolve this at the earliest.,Pension Related
My debit card stopped working without any notice and the branch could not tell me why it was blocked. I have already raised this with the branch.,ATM/Debit Cards
My pension payment was delayed by over a month with no explanation from the bank handling my pension account. Kindly look into this matter.,Pension Related
"There is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. Please resolve this at the earliest.",Pension Related
My recurring deposit installment was not credited correctly and the maturity amount shown is incorrect.,Deposit Accounts
I am writing to complain that my debit card stopped working without any notice and the branch could not tell me why it was blocked. Please resolve this at the earliest.,ATM/Debit Cards
"To whom it may concern, a fund transfer through the mobile app went to the wrong account due to an app error and the bank refuses to help recover it. Kindly look into this matter.",Mobile/Electronic Banking
I am writing to complain that my pension payment was delayed by over a month with no explanation from the bank handling my pension account. Kindly look into this matter.,Pension Related
I want to report that an unauthorized UPI transaction was made from my account and the bank has not blocked the linked merchant. Kindly look into this matter.,Mobile/Electronic Banking
A transaction I never made appeared on my credit card statement and the bank is refusing to investigate it. Kindly look into this matter.,Credit Cards
I requested closure of my credit card four months ago but I am still being charged the annual renewal fee. Please resolve this at the earliest.,Credit Cards
I requested closure of my credit card four months ago but I am still being charged the annual renewal fee. Kindly look into this matter.,Credit Cards
"To whom it may concern, there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. Kindly look into this matter.",Pension Related
"I am writing to complain that the bank has not updated my pension account after my annual life certificate submission, and payments have stopped.",Pension Related
I want to report that i am facing repeated failed login attempts being flagged on my account despite using the correct credentials. Please resolve this at the earliest.,Mobile/Electronic Banking
I am writing to complain that my debit card PIN reset request has been pending for over three weeks with no update from the bank.,ATM/Debit Cards
I want to report that my joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork.,Deposit Accounts
I am writing to complain that my credit card was blocked without notice while I was traveling and customer care could not explain why. Kindly look into this matter.,Credit Cards
I want to report that i was charged for a duplicate debit card that I never requested or received. I have already raised this with the branch.,ATM/Debit Cards
"To whom it may concern, my request to convert my loan from floating to fixed rate has been ignored for three months now. Kindly look into this matter.",Loans and Advances
I am writing to complain that i was charged a processing fee on my loan that is double what was quoted to me at the time of application. Please resolve this at the earliest.,Loans and Advances
"To whom it may concern, i applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. I have already raised this with the branch.",Loans and Advances
Cash was deducted from my account at the ATM but the machine did not dispense any money. I have already raised this with the branch.,ATM/Debit Cards
"To whom it may concern, the bank increased my credit card limit without my consent and now wants to charge interest on the new limit. I have already raised this with the branch.",Credit Cards
I want to report that my home loan EMI was deducted twice in the same month and the bank has not refunded the extra amount despite repeated follow up.,Loans and Advances
"To whom it may concern, the bank increased my credit card limit without my consent and now wants to charge interest on the new limit. Please resolve this at the earliest.",Credit Cards
"I am writing to complain that the bank has not updated my pension account after my annual life certificate submission, and payments have stopped.",Pension Related
I want to report that my debit card PIN reset request has been pending for over three weeks with no update from the bank. Please resolve this at the earliest.,ATM/Debit Cards
I want to report that my recurring deposit installment was not credited correctly and the maturity amount shown is incorrect.,Deposit Accounts
"To whom it may concern, my NEFT transfer initiated through net banking has been stuck in processing for five days. Please resolve this at the earliest.",Mobile/Electronic Banking
"To whom it may concern, my credit card was blocked without notice while I was traveling and customer care could not explain why. Please resolve this at the earliest.",Credit Cards
"To whom it may concern, there is a billing dispute on my credit card statement that the bank has not resolved after sixty days. Please resolve this at the earliest.",Credit Cards
I want to report that i was charged a late payment fee even though I paid my credit card bill one day before the due date.,Credit Cards
"To whom it may concern, the interest rate on my floating rate loan was increased without any prior notice being sent to me.",Loans and Advances
"To whom it may concern, there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it.",Pension Related
"To whom it may concern, i am being billed an annual fee on my credit card that was supposed to be lifetime free as per the original offer. I have already raised this with the branch.",Credit Cards
I am writing to complain that i applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. I have already raised this with the branch.,Loans and Advances
I want to report that my debit card stopped working without any notice and the branch could not tell me why it was blocked. I have already raised this with the branch.,ATM/Debit Cards
"To whom it may concern, my credit card application was rejected and the bank will not tell me the specific reason for rejection. Kindly look into this matter.",Credit Cards
I am writing to complain that i was charged a processing fee on my loan that is double what was quoted to me at the time of application. Please resolve this at the earliest.,Loans and Advances
I want to report that the ATM swallowed my card during a transaction and the branch has not returned it after two weeks.,ATM/Debit Cards
I want to report that my NEFT transfer initiated through net banking has been stuck in processing for five days. Kindly look into this matter.,Mobile/Electronic Banking
"I want to report that there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. I have already raised this with the branch.",Pension Related
I want to report that my pension payment was delayed by over a month with no explanation from the bank handling my pension account. I have already raised this with the branch.,Pension Related
I am writing to complain that my loan top up application was rejected without any written reason being provided to me. Please resolve this at the earliest.,Loans and Advances
I am writing to complain that my debit card stopped working without any notice and the branch could not tell me why it was blocked.,ATM/Debit Cards
I want to report that the bank has not issued a no objection certificate even though I closed my loan account five months ago. I have already raised this with the branch.,Loans and Advances
I am writing to complain that i was charged a processing fee on my loan that is double what was quoted to me at the time of application. I have already raised this with the branch.,Loans and Advances
"To whom it may concern, my OTP for a transaction I did not initiate was used to debit money from my savings account.",Mobile/Electronic Banking
I want to report that i reported a failed ATM transaction over a month ago and the amount has still not been reversed to my account.,ATM/Debit Cards
I want to report that my loan account shows a default even though I have paid every installment on time for the last two years. Please resolve this at the earliest.,Loans and Advances
There is a billing dispute on my credit card statement that the bank has not resolved after sixty days.,Credit Cards
"To whom it may concern, the interest rate on my floating rate loan was increased without any prior notice being sent to me.",Loans and Advances
"To whom it may concern, my joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork. I have already raised this with the branch.",Deposit Accounts
My debit card was used for a transaction in another city while the card was in my possession the entire time. Please resolve this at the earliest.,ATM/Debit Cards
"To whom it may concern, my loan top up application was rejected without any written reason being provided to me. Kindly look into this matter.",Loans and Advances
I am writing to complain that the mobile banking app charged me a service fee that was never disclosed in the terms of use.,Mobile/Electronic Banking
I want to report that my family pension claim after my spouse's death has been pending at the branch for over four months. Kindly look into this matter.,Pension Related
The bank closed my savings account for inactivity without sending any prior written notice. Please resolve this at the earliest.,Deposit Accounts
"I want to report that the bank has not updated my pension account after my annual life certificate submission, and payments have stopped.",Pension Related
My home loan EMI was deducted twice in the same month and the bank has not refunded the extra amount despite repeated follow up.,Loans and Advances
My pension payment was delayed by over a month with no explanation from the bank handling my pension account. I have already raised this with the branch.,Pension Related
"To whom it may concern, the mobile banking app charged me a service fee that was never disclosed in the terms of use.",Mobile/Electronic Banking
"I want to report that i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted.",Deposit Accounts
I want to report that i am unable to log into net banking for two weeks now and customer support has not resolved the issue. Please resolve this at the earliest.,Mobile/Electronic Banking
My home loan EMI was deducted twice in the same month and the bank has not refunded the extra amount despite repeated follow up. Please resolve this at the earliest.,Loans and Advances
"To whom it may concern, the bank closed my savings account for inactivity without sending any prior written notice.",Deposit Accounts
"To whom it may concern, i was charged GST twice on the same credit card transaction in one billing cycle.",Credit Cards
"I am writing to complain that there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. Please resolve this at the earliest.",Pension Related
"To whom it may concern, i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted. I have already raised this with the branch.",Deposit Accounts
I am writing to complain that a fund transfer through the mobile app went to the wrong account due to an app error and the bank refuses to help recover it. Kindly look into this matter.,Mobile/Electronic Banking
I want to report that my debit card was used for a transaction in another city while the card was in my possession the entire time. I have already raised this with the branch.,ATM/Debit Cards
"To whom it may concern, my family pension claim after my spouse's death has been pending at the branch for over four months. Please resolve this at the earliest.",Pension Related
"To whom it may concern, my credit card reward points expired without any prior communication from the bank. Please resolve this at the earliest.",Credit Cards
My request to convert my loan from floating to fixed rate has been ignored for three months now. I have already raised this with the branch.,Loans and Advances
"To whom it may concern, my mobile banking app shows a failed transaction but the amount was still deducted from my account. Kindly look into this matter.",Mobile/Electronic Banking
"To whom it may concern, i reported a failed ATM transaction over a month ago and the amount has still not been reversed to my account. I have already raised this with the branch.",ATM/Debit Cards
"To whom it may concern, my family pension claim after my spouse's death has been pending at the branch for over four months. I have already raised this with the branch.",Pension Related
I applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. I have already raised this with the branch.,Loans and Advances
I want to report that my OTP for a transaction I did not initiate was used to debit money from my savings account. Please resolve this at the earliest.,Mobile/Electronic Banking
"I am writing to complain that there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. I have already raised this with the branch.",Pension Related
My family pension claim after my spouse's death has been pending at the branch for over four months.,Pension Related
"To whom it may concern, my family pension claim after my spouse's death has been pending at the branch for over four months. I have already raised this with the branch.",Pension Related
The bank deducted a minimum balance penalty from my account despite my maintaining the required average balance. I have already raised this with the branch.,Deposit Accounts
Cash was deducted from my account at the ATM but the machine did not dispense any money. Kindly look into this matter.,ATM/Debit Cards
"To whom it may concern, the bank has not issued a no objection certificate even though I closed my loan account five months ago. I have already raised this with the branch.",Loans and Advances
I am writing to complain that my debit card PIN reset request has been pending for over three weeks with no update from the bank. I have already raised this with the branch.,ATM/Debit Cards
I am writing to complain that my loan account shows a default even though I have paid every installment on time for the last two years.,Loans and Advances
I want to report that a fund transfer through the mobile app went to the wrong account due to an app error and the bank refuses to help recover it.,Mobile/Electronic Banking
I am writing to complain that the bank is charging me an ATM usage fee even though I have not exceeded my free transaction limit for the month. Please resolve this at the earliest.,ATM/Debit Cards
"I am writing to complain that there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. Kindly look into this matter.",Pension Related
"To whom it may concern, i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted. Please resolve this at the earliest.",Deposit Accounts
I am writing to complain that cash was deducted from my account at the ATM but the machine did not dispense any money. Please resolve this at the earliest.,ATM/Debit Cards
I reported a failed ATM transaction over a month ago and the amount has still not been reversed to my account.,ATM/Debit Cards
I want to report that the bank increased my credit card limit without my consent and now wants to charge interest on the new limit. Please resolve this at the earliest.,Credit Cards
I want to report that i applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. I have already raised this with the branch.,Loans and Advances
I am writing to complain that my fixed deposit was auto renewed at a lower interest rate than what was originally communicated to me.,Deposit Accounts
I am writing to complain that the ATM swallowed my card during a transaction and the branch has not returned it after two weeks. I have already raised this with the branch.,ATM/Debit Cards
My debit card was used for a transaction in another city while the card was in my possession the entire time. Please resolve this at the earliest.,ATM/Debit Cards
My debit card was used for a transaction in another city while the card was in my possession the entire time. Kindly look into this matter.,ATM/Debit Cards
"I want to report that i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted.",Deposit Accounts
"To whom it may concern, my joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork.",Deposit Accounts
I want to report that i am facing repeated failed login attempts being flagged on my account despite using the correct credentials. I have already raised this with the branch.,Mobile/Electronic Banking
My joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork. I have already raised this with the branch.,Deposit Accounts
"To whom it may concern, the bank is charging me an ATM usage fee even though I have not exceeded my free transaction limit for the month.",ATM/Debit Cards
"To whom it may concern, the mobile banking app charged me a service fee that was never disclosed in the terms of use. Kindly look into this matter.",Mobile/Electronic Banking
I was charged a late payment fee even though I paid my credit card bill one day before the due date.,Credit Cards
I was charged GST twice on the same credit card transaction in one billing cycle.,Credit Cards
I am writing to complain that i reported a failed ATM transaction over a month ago and the amount has still not been reversed to my account. Please resolve this at the earliest.,ATM/Debit Cards
My joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork. Kindly look into this matter.,Deposit Accounts
"To whom it may concern, i am facing repeated failed login attempts being flagged on my account despite using the correct credentials. Please resolve this at the earliest.",Mobile/Electronic Banking
"To whom it may concern, the mobile banking app charged me a service fee that was never disclosed in the terms of use. I have already raised this with the branch.",Mobile/Electronic Banking
I am being billed an annual fee on my credit card that was supposed to be lifetime free as per the original offer. I have already raised this with the branch.,Credit Cards
I want to report that my recurring deposit installment was not credited correctly and the maturity amount shown is incorrect. Kindly look into this matter.,Deposit Accounts
"I am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted.",Deposit Accounts
My family pension claim after my spouse's death has been pending at the branch for over four months.,Pension Related
"To whom it may concern, i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted. Kindly look into this matter.",Deposit Accounts
I want to report that i am being asked to pay prepayment charges on my loan despite RBI guidelines stating otherwise for floating rate loans. Kindly look into this matter.,Loans and Advances
I am writing to complain that my family pension claim after my spouse's death has been pending at the branch for over four months.,Pension Related
I want to report that an unauthorized UPI transaction was made from my account and the bank has not blocked the linked merchant.,Mobile/Electronic Banking
"To whom it may concern, i am unable to withdraw my matured fixed deposit because the branch says my KYC documents need updating, which I already submitted. I have already raised this with the branch.",Deposit Accounts
I want to report that a transaction I never made appeared on my credit card statement and the bank is refusing to investigate it. I have already raised this with the branch.,Credit Cards
I want to report that i am being asked to pay prepayment charges on my loan despite RBI guidelines stating otherwise for floating rate loans. I have already raised this with the branch.,Loans and Advances
"To whom it may concern, my loan account shows a default even though I have paid every installment on time for the last two years. I have already raised this with the branch.",Loans and Advances
There is a billing dispute on my credit card statement that the bank has not resolved after sixty days.,Credit Cards
I want to report that my OTP for a transaction I did not initiate was used to debit money from my savings account. I have already raised this with the branch.,Mobile/Electronic Banking
The bank is charging me an ATM usage fee even though I have not exceeded my free transaction limit for the month.,ATM/Debit Cards
I want to report that the bank deducted a minimum balance penalty from my account despite my maintaining the required average balance.,Deposit Accounts
I want to report that the bank is charging me an ATM usage fee even though I have not exceeded my free transaction limit for the month. Please resolve this at the earliest.,ATM/Debit Cards
"To whom it may concern, i applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement.",Loans and Advances
"To whom it may concern, my OTP for a transaction I did not initiate was used to debit money from my savings account.",Mobile/Electronic Banking
The bank sanctioned my car loan but is delaying disbursement for over six weeks without explanation. Please resolve this at the earliest.,Loans and Advances
"To whom it may concern, the bank has not updated my pension account after my annual life certificate submission, and payments have stopped. Please resolve this at the earliest.",Pension Related
"To whom it may concern, an unauthorized UPI transaction was made from my account and the bank has not blocked the linked merchant.",Mobile/Electronic Banking
I am writing to complain that my OTP for a transaction I did not initiate was used to debit money from my savings account.,Mobile/Electronic Banking
I am writing to complain that my mobile banking app shows a failed transaction but the amount was still deducted from my account. I have already raised this with the branch.,Mobile/Electronic Banking
I want to report that there is a billing dispute on my credit card statement that the bank has not resolved after sixty days.,Credit Cards
"To whom it may concern, my debit card PIN reset request has been pending for over three weeks with no update from the bank.",ATM/Debit Cards
I want to report that the bank closed my savings account for inactivity without sending any prior written notice.,Deposit Accounts
"To whom it may concern, i requested closure of my credit card four months ago but I am still being charged the annual renewal fee. Please resolve this at the earliest.",Credit Cards
My joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork.,Deposit Accounts
My debit card stopped working without any notice and the branch could not tell me why it was blocked. I have already raised this with the branch.,ATM/Debit Cards
I want to report that i was charged a processing fee on my loan that is double what was quoted to me at the time of application. Please resolve this at the earliest.,Loans and Advances
I am writing to complain that the bank is charging me an ATM usage fee even though I have not exceeded my free transaction limit for the month. Kindly look into this matter.,ATM/Debit Cards
"To whom it may concern, there is a billing dispute on my credit card statement that the bank has not resolved after sixty days. Please resolve this at the earliest.",Credit Cards
An unauthorized UPI transaction was made from my account and the bank has not blocked the linked merchant. Kindly look into this matter.,Mobile/Electronic Banking
I am writing to complain that my pension payment was delayed by over a month with no explanation from the bank handling my pension account. Please resolve this at the earliest.,Pension Related
"To whom it may concern, the bank deducted a minimum balance penalty from my account despite my maintaining the required average balance. I have already raised this with the branch.",Deposit Accounts
"To whom it may concern, my OTP for a transaction I did not initiate was used to debit money from my savings account. Please resolve this at the earliest.",Mobile/Electronic Banking
I am writing to complain that i was charged a late payment fee even though I paid my credit card bill one day before the due date. Please resolve this at the earliest.,Credit Cards
"There is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. Please resolve this at the earliest.",Pension Related
I want to report that my credit card application was rejected and the bank will not tell me the specific reason for rejection.,Credit Cards
I applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. Please resolve this at the earliest.,Loans and Advances
I am writing to complain that the bank has not issued a no objection certificate even though I closed my loan account five months ago. Please resolve this at the earliest.,Loans and Advances
I am writing to complain that i am being asked to pay prepayment charges on my loan despite RBI guidelines stating otherwise for floating rate loans.,Loans and Advances
"To whom it may concern, there is a discrepancy in my pension amount compared to what was sanctioned by my employer, and the branch is not resolving it. I have already raised this with the branch.",Pension Related
I want to report that i requested closure of my credit card four months ago but I am still being charged the annual renewal fee. I have already raised this with the branch.,Credit Cards
I am writing to complain that i applied for a personal loan foreclosure and the bank is charging a penalty that was never mentioned in my loan agreement. Kindly look into this matter.,Loans and Advances
I am writing to complain that the bank closed my savings account for inactivity without sending any prior written notice. Kindly look into this matter.,Deposit Accounts
A transaction I never made appeared on my credit card statement and the bank is refusing to investigate it. I have already raised this with the branch.,Credit Cards
I am writing to complain that a fund transfer through the mobile app went to the wrong account due to an app error and the bank refuses to help recover it. Please resolve this at the earliest.,Mobile/Electronic Banking
I want to report that the interest rate on my floating rate loan was increased without any prior notice being sent to me. I have already raised this with the branch.,Loans and Advances
I want to report that i was charged for a duplicate debit card that I never requested or received. Please resolve this at the earliest.,ATM/Debit Cards
I want to report that i was charged GST twice on the same credit card transaction in one billing cycle. I have already raised this with the branch.,Credit Cards
"The bank has not updated my pension account after my annual life certificate submission, and payments have stopped. Please resolve this at the earliest.",Pension Related
My joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork.,Deposit Accounts
I want to report that my NEFT transfer initiated through net banking has been stuck in processing for five days. Kindly look into this matter.,Mobile/Electronic Banking
I want to report that my fixed deposit was auto renewed at a lower interest rate than what was originally communicated to me. Kindly look into this matter.,Deposit Accounts
"To whom it may concern, the bank has not updated my pension account after my annual life certificate submission, and payments have stopped. Please resolve this at the earliest.",Pension Related
"To whom it may concern, my pension payment was delayed by over a month with no explanation from the bank handling my pension account. I have already raised this with the branch.",Pension Related
"To whom it may concern, i was charged a late payment fee even though I paid my credit card bill one day before the due date. Please resolve this at the earliest.",Credit Cards
"The bank has not updated my pension account after my annual life certificate submission, and payments have stopped. Kindly look into this matter.",Pension Related
I want to report that there is a billing dispute on my credit card statement that the bank has not resolved after sixty days. Please resolve this at the earliest.,Credit Cards
I am writing to complain that my joint account was frozen after one holder passed away and the bank is not processing the required transmission paperwork.,Deposit Accounts
